birdId,group,family,alphabeticalName,order,birdName,rarityType,habitat,SABAP2Ref,illustrationFile,mapFile,thumbnailFile,photosLocation,sonogramFile,sonogramName,soundName,resourceName,plateName,thumbnailName,mapNameBasic,mapNameZoomed,mapBarName,photoName,afrikaansName
1,Plungers,Albatrosses,"Albatross, Wandering",01_01_01,Wandering Albatross,rare,TBC,4148,Birds/Plungers/Albatrosses/Wandering Albatross/birdviewillustration,Birds/Plungers/Albatrosses/Wandering Albatross/map,Birds/Plungers/Albatrosses/Wandering Albatross/thumbnail,Birds/Plungers/Albatrosses/Wandering Albatross/Photos/,Birds/Plungers/Albatrosses/Wandering Albatross/sonogram,albatross_wandering_sonogram,albatross_wandering_sound,albatross_wandering,albatross_wandering_plate,albatross_wandering_thumbnail,map_albatross_wandering_b,map_albatross_wandering_z,bar_albatross_wandering,albatross_wandering,Grootalbatros
2,Plungers,Albatrosses,"Albatross, Tristan",01_01_02,Tristan Albatross,top,TBC,1080,Birds/Plungers/Albatrosses/Tristan Albatross/birdviewillustration,Birds/Plungers/Albatrosses/Tristan Albatross/map,Birds/Plungers/Albatrosses/Tristan Albatross/thumbnail,Birds/Plungers/Albatrosses/Tristan Albatross/Photos/,Birds/Plungers/Albatrosses/Tristan Albatross/sonogram,albatross_tristan_sonogram,albatross_tristan_sound,albatross_tristan,albatross_tristan_plate,albatross_tristan_thumbnail,map_albatross_tristan_b,map_albatross_tristan_z,bar_albatross_tristan,albatross_tristan,Tristangrootalbatros
3,Plungers,Albatrosses,"Albatross, Amsterdam",01_01_03,Amsterdam Albatross,top,TBC,848,Birds/Plungers/Albatrosses/Amsterdam Albatross/birdviewillustration,Birds/Plungers/Albatrosses/Amsterdam Albatross/map,Birds/Plungers/Albatrosses/Amsterdam Albatross/thumbnail,Birds/Plungers/Albatrosses/Amsterdam Albatross/Photos/,Birds/Plungers/Albatrosses/Amsterdam Albatross/sonogram,albatross_amsterdam_sonogram,albatross_amsterdam_sound,albatross_amsterdam,albatross_amsterdam_plate,albatross_amsterdam_thumbnail,map_albatross_amsterdam_b,map_albatross_amsterdam_z,bar_albatross_amsterdam,albatross_amsterdam,Amsterdamalbatross
4,Plungers,Albatrosses,"Albatross, Southern Royal",01_01_04,Southern Royal Albatross,top,TBC,4149,Birds/Plungers/Albatrosses/Southern Royal Albatross/birdviewillustration,Birds/Plungers/Albatrosses/Southern Royal Albatross/map,Birds/Plungers/Albatrosses/Southern Royal Albatross/thumbnail,Birds/Plungers/Albatrosses/Southern Royal Albatross/Photos/,Birds/Plungers/Albatrosses/Southern Royal Albatross/sonogram,albatross_southern_royal_sonogram,albatross_southern_royal_sound,albatross_southern_royal,albatross_southern_royal_plate,albatross_southern_royal_thumbnail,map_albatross_southern_royal_b,map_albatross_southern_royal_z,bar_albatross_southern_royal,albatross_southern_royal,Witvlerkkoningalbatros
5,Plungers,Albatrosses,"Albatross, Northern Royal",01_01_05,Northern Royal Albatross,top,TBC,2230,Birds/Plungers/Albatrosses/Northern Royal Albatross/birdviewillustration,Birds/Plungers/Albatrosses/Northern Royal Albatross/map,Birds/Plungers/Albatrosses/Northern Royal Albatross/thumbnail,Birds/Plungers/Albatrosses/Northern Royal Albatross/Photos/,Birds/Plungers/Albatrosses/Northern Royal Albatross/sonogram,albatross_northern_royal_sonogram,albatross_northern_royal_sound,albatross_northern_royal,albatross_northern_royal_plate,albatross_northern_royal_thumbnail,map_albatross_northern_royal_b,map_albatross_northern_royal_z,bar_albatross_northern_royal,albatross_northern_royal,Swartvlerkkoningalbatros
6,Plungers,Albatrosses,"Albatross, Shy",01_01_06,Shy Albatross,common,TBC,4150,Birds/Plungers/Albatrosses/Shy Albatross/birdviewillustration,Birds/Plungers/Albatrosses/Shy Albatross/map,Birds/Plungers/Albatrosses/Shy Albatross/thumbnail,Birds/Plungers/Albatrosses/Shy Albatross/Photos/,Birds/Plungers/Albatrosses/Shy Albatross/sonogram,albatross_shy_sonogram,albatross_shy_sound,albatross_shy,albatross_shy_plate,albatross_shy_thumbnail,map_albatross_shy_b,map_albatross_shy_z,bar_albatross_shy,albatross_shy,Bloubekalbatros
7,Plungers,Albatrosses,"Albatross, Salvin's",01_01_07,Salvin's Albatross,top,TBC,1081,Birds/Plungers/Albatrosses/Salvin's Albatross/birdviewillustration,Birds/Plungers/Albatrosses/Salvin's Albatross/map,Birds/Plungers/Albatrosses/Salvin's Albatross/thumbnail,Birds/Plungers/Albatrosses/Salvin's Albatross/Photos/,Birds/Plungers/Albatrosses/Salvin's Albatross/sonogram,albatross_salvins_sonogram,albatross_salvins_sound,albatross_salvins,albatross_salvins_plate,albatross_salvins_thumbnail,map_albatross_salvins_b,map_albatross_salvins_z,bar_albatross_salvins,albatross_salvins,Salvinalbatros
8,Plungers,Albatrosses,"Albatross, Chatham",01_01_08,Chatham Albatross,top,TBC,2256,Birds/Plungers/Albatrosses/Chatham Albatross/birdviewillustration,Birds/Plungers/Albatrosses/Chatham Albatross/map,Birds/Plungers/Albatrosses/Chatham Albatross/thumbnail,Birds/Plungers/Albatrosses/Chatham Albatross/Photos/,Birds/Plungers/Albatrosses/Chatham Albatross/sonogram,albatross_chatham_sonogram,albatross_chatham_sound,albatross_chatham,albatross_chatham_plate,albatross_chatham_thumbnail,map_albatross_chatham_b,map_albatross_chatham_z,bar_albatross_chatham,albatross_chatham,Chathamalbatros
9,Plungers,Albatrosses,"Albatross, Black-browed",01_01_09,Black-browed Albatross,common,TBC,8,Birds/Plungers/Albatrosses/Black-browed Albatross/birdviewillustration,Birds/Plungers/Albatrosses/Black-browed Albatross/map,Birds/Plungers/Albatrosses/Black-browed Albatross/thumbnail,Birds/Plungers/Albatrosses/Black-browed Albatross/Photos/,Birds/Plungers/Albatrosses/Black-browed Albatross/sonogram,albatross_black_browed_sonogram,albatross_black_browed_sound,albatross_black_browed,albatross_black_browed_plate,albatross_black_browed_thumbnail,map_albatross_black_browed_b,map_albatross_black_browed_z,bar_albatross_black_browed,albatross_blackbrowed,Swartrugalbatros
10,Plungers,Albatrosses,"Albatross, Grey-headed",01_01_10,Grey-headed Albatross,top,TBC,9,Birds/Plungers/Albatrosses/Grey-headed Albatross/birdviewillustration,Birds/Plungers/Albatrosses/Grey-headed Albatross/map,Birds/Plungers/Albatrosses/Grey-headed Albatross/thumbnail,Birds/Plungers/Albatrosses/Grey-headed Albatross/Photos/,Birds/Plungers/Albatrosses/Grey-headed Albatross/sonogram,albatross_grey_headed_sonogram,albatross_grey_headed_sound,albatross_grey_headed,albatross_grey_headed_plate,albatross_grey_headed_thumbnail,map_albatross_grey_headed_b,map_albatross_grey_headed_z,bar_albatross_grey_headed,albatross_greyheaded,Gryskopalbatros
